SampleLogFunc,SampleVariable1,SampleVariable2,SampleVariable3,SampleVariable4
-7.8408907,-10.015706,16.934617,19.950945,-2.5577322
-5.5169913,-9.3784112,14.787060,17.674775,-1.7950883
-4.9451437,-8.4263678,14.664345,19.722007,.96583423
-4.9451437,-8.4263678,14.664345,19.722007,.96583423
-3.6634229,-9.5378512,16.277251,20.700402,.30357605
-8.9055822,-9.1201113,17.435158,21.457882,-.98364878
-7.8976409,-9.5622465,15.980366,20.931426,-.88405961
-7.1271019,-8.4373862,16.148357,20.701557,1.8873933
-7.1271019,-8.4373862,16.148357,20.701557,1.8873933
-3.2270448,-10.116943,14.629961,20.727024,.87220549
-3.2270448,-10.116943,14.629961,20.727024,.87220549
-3.2270448,-10.116943,14.629961,20.727024,.87220549
-3.2270448,-10.116943,14.629961,20.727024,.87220549
-3.2270448,-10.116943,14.629961,20.727024,.87220549
-3.2270448,-10.116943,14.629961,20.727024,.87220549
-2.9928967,-9.5548553,15.467890,19.519004,-.38368693
-2.9928967,-9.5548553,15.467890,19.519004,-.38368693
-2.9928967,-9.5548553,15.467890,19.519004,-.38368693
-2.9928967,-9.5548553,15.467890,19.519004,-.38368693
-2.9928967,-9.5548553,15.467890,19.519004,-.38368693
-2.9928967,-9.5548553,15.467890,19.519004,-.38368693
-2.8822392,-10.173642,14.791373,19.762076,-.51936304
-2.8822392,-10.173642,14.791373,19.762076,-.51936304
-2.8822392,-10.173642,14.791373,19.762076,-.51936304
-2.8822392,-10.173642,14.791373,19.762076,-.51936304
-2.8822392,-10.173642,14.791373,19.762076,-.51936304
-3.6754011,-10.433057,14.952204,19.054982,-1.3199245
-3.6754011,-10.433057,14.952204,19.054982,-1.3199245
-3.6754011,-10.433057,14.952204,19.054982,-1.3199245
-4.3126622,-9.7648013,15.609002,20.823729,-.19130203
-5.8984198,-8.5586163,14.966259,17.574631,-1.6789455
-5.8984198,-8.5586163,14.966259,17.574631,-1.6789455
-4.3264578,-8.4279463,16.125106,20.234263,.83669226E-01
-4.3264578,-8.4279463,16.125106,20.234263,.83669226E-01
-4.3264578,-8.4279463,16.125106,20.234263,.83669226E-01
-4.3264578,-8.4279463,16.125106,20.234263,.83669226E-01
-4.3264578,-8.4279463,16.125106,20.234263,.83669226E-01
-4.3264578,-8.4279463,16.125106,20.234263,.83669226E-01
-4.3264578,-8.4279463,16.125106,20.234263,.83669226E-01
-3.9866461,-9.6331638,16.224307,19.655829,-.86664970
-5.3704897,-9.0193161,16.407161,18.781093,-2.0369088
-4.2992631,-8.6647333,16.286407,20.407870,.69206078
-4.2992631,-8.6647333,16.286407,20.407870,.69206078
-4.5638579,-9.3830390,15.549999,20.400417,-.41744480
-4.5638579,-9.3830390,15.549999,20.400417,-.41744480
-4.7783022,-8.2551132,14.858319,18.536254,-.15842960
-4.7783022,-8.2551132,14.858319,18.536254,-.15842960
-3.7923617,-9.3839255,16.252245,19.637150,-1.1566288
-6.8815844,-10.848249,15.470301,18.831227,-2.7909126
-5.1255515,-10.871927,14.719522,21.951572,1.9732574
-3.0448843,-10.129827,14.171984,19.932210,.41923043
-3.0448843,-10.129827,14.171984,19.932210,.41923043
-3.0448843,-10.129827,14.171984,19.932210,.41923043
-3.0448843,-10.129827,14.171984,19.932210,.41923043
-4.0348988,-10.516504,14.136341,19.688793,.68955471
-4.4296269,-11.299003,14.604183,20.064486,.91978350E-01
-8.8648063,-11.083553,14.227666,19.967839,-1.6512778
-7.9359050,-11.809201,16.038204,21.376293,-1.4454207
-5.3963222,-11.573106,14.302468,20.453614,-.83088173
-10.279819,-9.2239484,15.384578,22.273267,3.6800560
-6.3938391,-11.036186,14.484985,21.376340,2.1497285
-6.9878678,-10.353964,12.207547,18.796629,.80822772
-5.5631139,-10.785727,15.345949,22.399776,1.6125009
-5.5631139,-10.785727,15.345949,22.399776,1.6125009
-4.7043617,-11.676137,15.261575,20.939862,-.55445069
-3.8769889,-10.677022,14.381830,20.994536,.72645067
-3.8769889,-10.677022,14.381830,20.994536,.72645067
-3.1226706,-10.319755,14.066493,19.272089,-.21155063
-5.0903370,-10.627261,14.939155,21.984239,1.4179099
-5.0903370,-10.627261,14.939155,21.984239,1.4179099
-3.4710087,-11.232623,14.305088,20.144526,-.33913294
-3.4710087,-11.232623,14.305088,20.144526,-.33913294
-3.4710087,-11.232623,14.305088,20.144526,-.33913294
-3.4710087,-11.232623,14.305088,20.144526,-.33913294
-3.4710087,-11.232623,14.305088,20.144526,-.33913294
-3.4710087,-11.232623,14.305088,20.144526,-.33913294
-3.4735193,-10.289254,15.272479,20.574618,-.35471916
-3.4502134,-9.1022520,14.679053,19.598840,.66124469
-4.4752598,-10.084934,15.209762,21.180727,.34737693
-3.3467937,-9.7547146,14.423163,19.488738,.53387590
-3.6145262,-9.9230316,15.587574,20.455319,.62769522
-3.8487175,-9.9352060,15.051523,19.590622,-1.1148922
-3.8487175,-9.9352060,15.051523,19.590622,-1.1148922
-4.9872232,-10.639077,12.953535,18.738036,-.27716802
-4.7720510,-9.1181001,16.503834,19.204600,-1.6669239
-4.3927844,-9.0348866,16.194078,20.368475,.68811496
-7.8619101,-7.5469574,17.422862,18.790239,-1.8252837
-3.4381676,-10.697225,13.815883,20.026173,.71793025
-3.2767323,-9.9088462,15.133137,19.643844,-.91334426
-7.2895836,-12.699756,14.232244,21.742220,1.1071414
-3.6510444,-11.144310,15.236033,21.054102,.66769194E-01
-4.0558218,-9.6247194,16.511194,20.504403,-.79482830
-6.6165048,-9.2684138,13.116844,18.843872,1.3565351
-6.6165048,-9.2684138,13.116844,18.843872,1.3565351
-3.6088273,-9.2899855,15.828393,19.206674,-.85004773
-3.6088273,-9.2899855,15.828393,19.206674,-.85004773
-3.6088273,-9.2899855,15.828393,19.206674,-.85004773
-3.4083686,-9.9082299,14.083158,19.139463,-.36515181
-2.8883225,-10.104170,15.122042,20.595200,.22217326
-2.8883225,-10.104170,15.122042,20.595200,.22217326
-3.4600610,-9.8804094,15.978566,19.980242,-.48130978
-3.6166324,-9.2932048,15.815767,19.134063,-1.1618362
-6.2847248,-7.6186725,15.215525,19.376301,1.0820447
-4.8278302,-9.2774463,14.400718,20.588749,1.8899446
-3.7739739,-10.059924,14.204091,20.656499,1.2682970
-5.9489776,-8.8100985,16.008347,20.113860,1.1121329
-3.2935630,-9.9101993,14.097321,19.322458,.34135637
-3.2935630,-9.9101993,14.097321,19.322458,.34135637
-3.2935630,-9.9101993,14.097321,19.322458,.34135637
-6.4930543,-12.523225,14.367821,20.149537,-1.0022029
-3.5110138,-9.1319758,15.343333,19.926720,.70101193
-6.2014080,-10.670749,15.473540,21.693718,-.72946036E-02
-4.3847129,-11.420798,14.664213,19.609840,-1.2305450
-4.2319031,-9.5739310,15.489220,18.633133,-1.7080999
-6.1090708,-8.7897041,14.406780,18.175228,.17121708
-6.7925112,-8.4027155,17.817481,20.161785,-1.0368559
-5.0862629,-8.3803167,16.806037,19.950130,-.86341593
-5.4091106,-9.1409899,17.097541,21.123151,.48815410
-5.0008777,-8.2999538,16.818149,20.185585,.20258582
-5.0008777,-8.2999538,16.818149,20.185585,.20258582
-3.5642639,-9.5189379,14.320273,19.971860,.65413370
-5.5338788,-9.5477228,13.254027,18.870983,1.0032922
-5.2511271,-10.289796,16.648025,21.976759,.41019423
-3.8310517,-10.825378,13.596698,20.202466,.65129666
-2.9062260,-10.017468,15.009324,20.682730,.75826332
-3.8068102,-8.7067583,16.041932,20.404051,.60366746
-6.1586617,-9.4445173,17.545802,21.053267,-.37758240
-4.9181836,-8.0072839,16.255641,19.630409,.28414725
-4.6902693,-9.3615975,14.533595,19.188776,-.81848488
-3.8189041,-10.247182,14.968548,19.054346,-1.5321559
-4.7062064,-11.262186,14.543874,19.251845,-.93895878
